;count;year;trim;id_trim
1;6948;2017;T1;1
2;12189;2017;T2;2
3;13105;2017;T3;3
4;10742;2017;T4;4
5;8878;2018;T1;1
6;12481;2018;T2;2
7;11950;2018;T3;3
8;10091;2018;T4;4
9;7192;2019;T1;1
10;9026;2019;T2;2
11;8397;2019;T3;3
12;4787;2019;T4;4
13;2959;2020;T1;1
14;149;2020;T2;2
15;1187;2020;T3;3
16;450;2020;T4;4
17;85;2021;T1;1
18;228;2021;T2;2
19;509;2021;T3;3
20;149;2021;T4;4
21;145;2022;T1;1
22;182;2022;T2;2
23;109;2022;T3;3
24;90;2022;T4;4
25;88;2023;T1;1
26;66;2023;T2;2
27;54;2023;T3;3
28;48;2023;T4;4
